main,address,added,upped,view_count,hearts,lat,lon,Тип предложения,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Газ,Санузел,Балкон,Входная дверь,Парковка,Высота потолков,Безопасность,Правоустанавливающие документы,Телефон,Интернет,Мебель,Возможность рассрочки,Возможность обмена,Разное,Пол,Возможность ипотеки,Площадь участка,Канализация,Питьевая вода,Электричество,usd_price
"2-комн. кв., 54 м2","Бишкек, ЖД вокзал, Раззакова/Боконбаева",Добавлено 5 дней назад,Поднято 8 часов назад,160,1.0,42.8665,74.6039,от агента,элитка,кирпичный,9 этаж из 13,54 м2,центральное,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,,,,,,,,,86000
"4-комн. кв., 140 м2","Бишкек, Джал-29 м-н, Тыналиева",Добавлено 28 дней назад,Поднято 4 часа назад,236,,42.8319,74.5677,от агента,элитка,"монолитный, 2020 г.",6 этаж из 12,140 м2,центральное,евроремонт,,,,,,2.8 м.,,,,,,,,,,,,,,,230000
"2-комн. кв., 60.64 м2","Бишкек, Магистраль, А.Токомбаева 15б/А.Куттубаева",Добавлено 2 месяца назад,Поднято 10 часов назад,957,5.0,42.8157,74.6234,от собственника,элитка,"кирпичный, 2026 г.",13 этаж из 14,60.64 м2,автономное,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,59500
"2-комн. кв., 74 м2","Бишкек, КНУ, К. Акиева/Жумабека",Добавлено 22 дня назад,Поднято 4 дня назад,218,2.0,42.8833,74.5786,от агента,элитка,"монолитный, 2020 г.",10 этаж из 12,74 м2,на газе,евроремонт,автономный,раздельный,,бронированная,паркинг,3 м.,"видеодомофон,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             красная книга",возможно подключение,adsl,полностью меблирована,нет,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             тихий двор,                                             удобно под бизнес",,нет,,,,,116000
"2-комн. кв., 44 м2","Бишкек, 8 м-н, Айни Чапаева",Добавлено 5 дней назад,,157,1.0,42.8352,74.6144,от агента,индивид. планировка,"кирпичный, 2023 г.",3 этаж из 9,"44 м2, жилая: 44 м2, кухня: 10 м2",центральное,евроремонт,магистральный,совмещенный,застекленный балкон,бронированная,рядом охраняемая стоянка,3 м.,"видеодомофон,                                             видеонаблюдение","технический паспорт,                                             красная книга",возможно подключение,проводной,полностью меблирована,,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,67000
"4-комн. кв., 127 м2","Бишкек, Парк Ататюрк, Малдыбаева, 54б",Добавлено 2 месяца назад,Поднято 10 часов назад,282,,42.8398,74.5989,от агента,индивид. планировка,"монолитный, 2017 г.",10 этаж из 10,"127 м2, жилая: 88 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,174000
"3-комн. кв., 69 м2","Бишкек, 12 м-н",Добавлено 12 дней назад,Поднято 8 часов назад,159,,42.8145,74.6374,от агента,106 серия,панельный,8 этаж из 9,69 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,103500
"3-комн. кв., 76 м2","Бишкек, Московская - Уметалиева",Добавлено 28 дней назад,Поднято 9 часов назад,323,6.0,42.8742,74.5813,от агента,индивид. планировка,кирпичный,5 этаж из 5,76 м2,центральное,евроремонт,магистральный,совмещенный,,,,,,"договор купли-продажи,                                             красная книга",,проводной,,,,тихий двор,,,,,,,92500
"1-комн. кв., 47 м2","Бишкек, Магистраль, Арстанбека Дуйшеева, 12",Добавлено 4 месяца назад,Поднято 11 часов назад,475,,42.8197,74.6151,от агента,индивид. планировка,"монолитный, 2021 г.",4 этаж из 16,"47 м2, жилая: 10 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,103000
"1-комн. кв., 40 м2","Бишкек, Кызыл-Аскер ж/м, Кызыл-Аскер, ул. Абдраева 198",Добавлено 4 месяца назад,Поднято 20 дней назад,596,,42.8722,74.5318,от агента,элитка,"кирпичный, 2023 г.",1 этаж из 7,40 м2,электрическое,хорошее,,,,,,3 м.,,договор долевого участия,,,,,,,,,,,,,51000
"1-комн. кв., 35 м2","Бишкек, 9 м-н",Добавлено 2 месяца назад,Поднято 14 часов назад,400,1.0,42.835,74.6055,от агента,105 серия,панельный,4 этаж из 4,35 м2,,хорошее,,,,,,,,,,,,,,,,,,,,,60500
"4-комн. кв., 136 м2","Бишкек, 1000 мелочей",Добавлено 2 месяца назад,Поднято 15 часов назад,329,1.0,42.8757,74.6215,от агента,индивид. планировка,"кирпичный, 1981 г.",5 этаж из 9,"136 м2, кухня: 15 м2",центральное,евроремонт,магистральный,раздельный,лоджия,бронированная,,2 м.,"домофон,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",нет,,пустая,,обмен не предлагать,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка",ламинат,,,,,,260000
"3-комн. кв., 92.11 м2","Бишкек, АЮ Grand,  ул. Анкара 1/31",Добавлено 3 месяца назад,Поднято 5 часов назад,452,1.0,42.8563,74.6886,от агента,элитка,"монолитный, 2024 г.",9 этаж из 14,92.11 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,96716
"3-комн. кв., 101 м2","Бишкек, Магистраль, Магистраль/Сухэ Батора",Добавлено 15 дней назад,Поднято 7 часов назад,107,,42.8228,74.6152,от агента,элитка,"монолитный, 2022 г.",9 этаж из 16,101 м2,на газе,под самоотделку (псо),,раздельный,балкон,,,3 м.,,"договор долевого участия,                                             зеленая книга",,,,нет,,"неугловая,                                             комнаты изолированы",,нет,,,,,152000
"1-комн. кв., 52 м2","Бишкек, Горького - Алма-Атинская, Горького",Добавлено 5 месяцев назад,Поднято 5 часов назад,777,2.0,42.8568,74.6308,от агента,элитка,"монолитный, 2024 г.",8 этаж из 14,52 м2,центральное,под самоотделку (псо),,,,,,3 м.,,,,,,,,пластиковые окна,,,,,,,55000
"2-комн. кв., 52 м2","Бишкек, с. Кок-Джар, мкр. Кок Жар",Добавлено 2 месяца назад,Поднято 8 часов назад,398,1.0,42.8206,74.649,от агента,элитка,"монолитный, 2023 г.",8 этаж из 14,52 м2,автономное,евроремонт,,,,бронированная,,3 м.,,договор долевого участия,,,,,,,,,,,,,74000
"4-комн. кв., 154 м2","Бишкек, Магистраль, Байтик-Баатыра 46Б/3/А. Токомбаева",Добавлено 21 день назад,Поднято 14 часов назад,184,1.0,42.8194,74.6035,от агента,элитка,"монолитный, 2025 г.",3 этаж из 16,"154 м2, жилая: 74 м2, кухня: 25 м2",автономное,под самоотделку (псо),магистральный,2 с/у и более,,металлическая,паркинг,3 м.,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             технический паспорт",возможно подключение,,,,,"пластиковые окна,                                             тихий двор",,,,,,,215000
"1-комн. кв., 46 м2","Бишкек, Магистраль, Байтик Баатыра/Токомбаева",Добавлено 1 месяц назад,Поднято 9 часов назад,285,3.0,42.818,74.6088,от агента,элитка,"монолитный, 2024 г.",2 этаж из 15,46 м2,,под самоотделку (псо),,,,,,3 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,возможно подключение,проводной,,,,"неугловая,                                             тихий двор",,,,,,,54500
"3-комн. кв., 79.7 м2","Бишкек, Гагарина, Тимура Фрунзе/Гагарина",Добавлено 3 месяца назад,Поднято 1 день назад,706,9.0,42.8535,74.5313,от собственника,105 серия,"панельный, 1982 г.",5 этаж из 5,"79.7 м2, жилая: 61 м2",центральное,евроремонт,магистральный,раздельный,балкон,металлическая,гараж,2.8 м.,кодовый замок,"договор купли-продажи,                                             технический паспорт",есть,проводной,полностью меблирована,,с доплатой покупателя,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",ламинат,есть,,,,,85000
"3-комн. кв., 107 м2","Бишкек, Магистраль, Токомбаева 29",Добавлено 3 месяца назад,Поднято 11 часов назад,773,,42.8226,74.6122,от агента,элитка,"монолитный, 2020 г.",8 этаж из 8,107 м2,электрическое,под самоотделку (псо),магистральный,раздельный,балкон,,,3.5 м.,,"договор долевого участия,                                             зеленая книга",,проводной,,,,,,,,,,,155150
"2-комн. кв., 77 м2","Бишкек, Кулатова- Матросова, Льва Толстого 6К/Матросова",Добавлено 1 месяц назад,Поднято 1 день назад,463,,42.8632,74.6203,от агента,элитка,"монолитный, 2025 г.",15 этаж из 15,77 м2,центральное,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,80850
"3-комн. кв., 139 м2","Бишкек, 9 м-н",Добавлено 4 дня назад,Поднято 7 часов назад,69,,42.8372,74.6039,от агента,элитка,кирпичный,5 этаж из 5,139 м2,центральное,хорошее,магистральный,раздельный,лоджия,бронированная,паркинг,,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",,,частично меблирована,,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,,,,152000
"4-комн. кв., 125 м2","Бишкек, Кок-Жар м-н",Добавлено 3 месяца назад,Поднято 19 часов назад,494,,42.8515,74.6302,от собственника,индивид. планировка,"кирпичный, 1998 г.",7 этаж из 7,"125 м2, жилая: 87 м2, кухня: 17 м2",центральное,евроремонт,магистральный,2 с/у и более,лоджия,бронированная,рядом охраняемая стоянка,265 м.,"домофон,                                             видеонаблюдение",договор купли-продажи,,проводной,частично меблирована,нет,обмен не предлагать,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",ламинат,,,,,,195000
"2-комн. кв., 55 м2","Бишкек, Магистраль, Куттубаева/Южная Магистраль",Добавлено 28 дней назад,Поднято 15 часов назад,182,,42.8161,74.6228,от агента,элитка,"монолитный, 2022 г.",7 этаж из 12,55 м2,на газе,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,97000
"2-комн. кв., 55 м2","Бишкек, Джал-23 м-н (Нижний Джал)",Добавлено 1 месяц назад,Поднято 16 часов назад,343,1.0,42.8426,74.5668,от агента,105 серия,панельный,2 этаж из 9,55 м2,центральное,хорошее,,раздельный,,,,,,"договор купли-продажи,                                             технический паспорт",,,,,,,,,,,,,81000
"2-комн. кв., 48 м2","Бишкек, Кара-Жыгач ж/м 41",Добавлено 1 месяц назад,,264,,42.8593,74.654,от собственника,элитка,"кирпичный, 2024 г.",5 этаж из 5,"48 м2, жилая: 48 м2, кухня: 30 м2",на газе,евроремонт,автономный,раздельный,нет,бронированная,паркинг,310 м.,"видеонаблюдение,                                             домофон,                                             кодовый замок",,есть,проводной,полностью меблирована,,рассмотрю варианты,"неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор,                                             пластиковые окна,                                             кухня-студия,                                             новая сантехника",ламинат,,,,,,75000
"1-комн. кв., 44 м2","Бишкек, Вечерка, Усенбаева, 3",Добавлено 3 месяца назад,Поднято 11 часов назад,877,6.0,42.8643,74.6136,от агента,106 серия,"панельный, 1989 г.",7 этаж из 9,"44 м2, жилая: 18 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,69000
"3-комн. кв., 87 м2","Бишкек, Джальская больница",Добавлено 2 месяца назад,Поднято 7 часов назад,382,,42.8437,74.5769,от агента,элитка,кирпичный,9 этаж из 10,87 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,140000
"1-комн. кв., 63 м2","Бишкек, Молодая Гвардия, Жоомарта Боконбаева 233/Калыка Акиева",Добавлено 1 месяц назад,Поднято 8 часов назад,191,,42.8686,74.5766,от агента,элитка,"монолитный, 2014 г.",4 этаж из 12,"63 м2, жилая: 24.4 м2, кухня: 19.4 м2",центральное,евроремонт,магистральный,совмещенный,лоджия,бронированная,паркинг,3 м.,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             красная книга",возможно подключение,проводной,полностью меблирована,,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,99000
"1-комн. кв., 42 м2","Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",Добавлено 1 месяц назад,Поднято 3 дня назад,363,,42.8451,74.5654,от собственника,элитка,"монолитный, 2023 г.",9 этаж из 14,42 м2,на газе,евроремонт,,,,,,3 м.,,технический паспорт,,,частично меблирована,,,,,,,,,,67000
"5-комн. кв., 195 м2","Бишкек, Магистраль, Масалиева 97/1/Манаса",Добавлено 9 месяцев назад,Поднято 16 часов назад,2177,6.0,42.8301,74.5841,от агента,элитка,"кирпичный, 2010 г.",9 этаж из 10,195 м2,на газе,евроремонт,магистральный,2 с/у и более,лоджия,бронированная,паркинг,3.4 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             красная книга",есть,оптика,полностью меблирована,нет,,"пластиковые окна,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",ламинат,есть,,,,,240000
"2-комн. кв., 52 м2","Бишкек, Чокана Валиханова - Исакеева, Исакеева/Виноградная",Добавлено 4 дня назад,Поднято 12 часов назад,79,,42.8612,74.6673,от агента,элитка,"монолитный, 2022 г.",10 этаж из 10,52 м2,центральное,евроремонт,магистральный,раздельный,балкон,бронированная,,2.8 м.,"домофон,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",возможно подключение,adsl,полностью меблирована,нет,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,85000
"2-комн. кв., 43 м2","Бишкек, 10 м-н, 10-й микрорайон, 2",Добавлено 3 месяца назад,Поднято 11 часов назад,632,3.0,42.8301,74.6066,от агента,104 серия,"панельный, 1980 г.",4 этаж из 4,"43 м2, жилая: 28 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,74000
"3-комн. кв., 134 м2","Бишкек, Магистраль, Малдыбаева 279",Добавлено 15 дней назад,Поднято 8 дней назад,1043,2.0,42.8248,74.5976,от собственника,элитка,"монолитный, 2022 г.",6 этаж из 13,"134 м2, кухня: 12 м2",электрическое,евроремонт,магистральный,раздельный,балкон,,паркинг,3.2 м.,охрана,,возможно подключение,adsl,полностью меблирована,,,,ламинат,,,,,,285000
"3-комн. кв., 108 м2","Бишкек, Вечерка, Абдрахманова/Туголбай -Ата",Добавлено 2 месяца назад,Поднято 7 часов назад,571,3.0,42.8647,74.6118,от агента,элитка,"монолитный, 2019 г.",6 этаж из 12,108 м2,центральное,евроремонт,,,,,,3 м.,,"технический паспорт,                                             красная книга",,,,,,,,,,,,,170000
"3-комн. кв., 62 м2","Бишкек, Восток-5 м-н",Добавлено 2 месяца назад,Поднято 8 часов назад,601,4.0,42.8733,74.6352,от агента,105 серия улучшенная,панельный,4 этаж из 5,62 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,84000
"1-комн. кв., 41 м2","Бишкек, Физкультурный, Суванбердиева, 110",Добавлено 1 месяц назад,Поднято 10 часов назад,162,,42.8475,74.6138,от агента,индивид. планировка,"монолитный, 2023 г.",6 этаж из 12,"41 м2, жилая: 19.37 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,69900
"3-комн. кв., 84 м2","Бишкек, Пишпек ж/м, Льва Толстого 148/Криваносова",Добавлено 26 дней назад,,213,,42.8641,74.5465,от агента,индивид. планировка,"кирпичный, 1999 г.",5 этаж из 6,84 м2,центральное,хорошее,,2 с/у и более,лоджия,бронированная,рядом охраняемая стоянка,3 м.,,,,,полностью меблирована,,,"неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             пластиковые окна",ламинат,есть,,,,,87000
"1-комн. кв., 53 м2","Бишкек, Горького - Алма-Атинская, Анкара 3/4",Добавлено 4 дня назад,Поднято 2 дня назад,78,,42.8564,74.6424,от агента,108 серия,"панельный, 2025 г.",7 этаж из 10,53 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,59990
"1-комн. кв., 34 м2","Бишкек, Учкун м-н",Добавлено 1 месяц назад,Поднято 5 часов назад,230,,42.8712,74.6934,от агента,105 серия,"панельный, 1990 г.",1 этаж из 9,34 м2,центральное,среднее,магистральный,совмещенный,лоджия,бронированная,,3 м.,"домофон,                                             видеонаблюдение",технический паспорт,,,пустая,,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",ламинат,,,,,,52500
"1-комн. кв., 34 м2","Бишкек, Шлагбаум",Добавлено 8 дней назад,Поднято 8 часов назад,106,,42.8753,74.5597,от агента,105 серия,панельный,1 этаж из 3,34 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,46000
"2-комн. кв., 66 м2","Бишкек, Цирк/Дворец бракосочетания, Баетова 74/Тыныстанова",Добавлено 1 месяц назад,,251,1.0,42.8828,74.6107,от агента,индивид. планировка,кирпичный,5 этаж из 7,"66 м2, жилая: 35 м2, кухня: 10 м2",центральное,евроремонт,магистральный,раздельный,застекленный балкон,бронированная,паркинг,285 м.,домофон,договор купли-продажи,,проводной,,,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня",паркет,,,,,,99000
"2-комн. кв., 100 м2","Бишкек, Магистраль/Манас",Добавлено 2 месяца назад,Поднято 6 часов назад,400,,42.8235,74.5859,от агента,элитка,"кирпичный, 2024 г.",11 этаж из 14,100 м2,автономное,под самоотделку (псо),,,,,,,"видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,,,,,,,,,,,,,151000
"3-комн. кв., 130 м2","Бишкек, Золотой квадрат, Боконбаева 115/Раззакова",Добавлено 3 месяца назад,Поднято 11 часов назад,1068,4.0,42.8675,74.6026,от агента,элитка,"монолитный, 2020 г.",8 этаж из 12,130 м2,центральное,евроремонт,магистральный,2 с/у и более,балкон,бронированная,паркинг,3.1 м.,охрана,,есть,проводной,полностью меблирована,,,"неугловая,                                             кондиционер,                                             новая сантехника,                                             кухня-студия,                                             улучшенная,                                             пластиковые окна,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",дерево,,,,,,360000
"2-комн. кв., 88 м2","Бишкек, Магистраль, Сухэ Батора/Токомбаева",Добавлено 23 дня назад,Поднято 1 час назад,182,1.0,42.8213,74.6168,от агента,элитка,кирпичный,2 этаж из 14,88 м2,на газе,евроремонт,возможно подключение,2 с/у и более,,бронированная,,3 м.,"охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,проводной,полностью меблирована,,,"новая сантехника,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,153052
"1-комн. кв., 59 м2","Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",Добавлено 14 дней назад,Поднято 8 часов назад,105,,42.8291,74.5656,от агента,элитка,"монолитный, 2025 г.",11 этаж из 14,59 м2,на газе,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,,,,,,,,,83000
"3-комн. кв., 83 м2","Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",Добавлено 1 месяц назад,Поднято 15 дней назад,98,,42.8595,74.6403,от агента,элитка,"монолитный, 2025 г.",1 этаж из 9,"83 м2, жилая: 83 м2, кухня: 15 м2",центральное,под самоотделку (псо),магистральный,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,3 м.,домофон,договор долевого участия,есть,проводной,пустая,,,,,,,,,,80454
"2-комн. кв., 79 м2","Бишкек, Чуй - Алматинка, Курманжан Датка, 53",Добавлено 2 месяца назад,Поднято 12 часов назад,289,1.0,42.878,74.6384,от агента,индивид. планировка,"кирпичный, 2022 г.",4 этаж из 9,"79 м2, жилая: 37 м2",,,,,,,,2.9 м.,,,,,,,,,,есть,,,,,110000
"1-комн. кв., 47 м2","Бишкек, Нижний Токольдош,  ул. Кийизбаева 32",Добавлено 20 дней назад,,159,,42.8697,74.6293,от собственника,элитка,"монолитный, 2025 г.",12 этаж из 13,47 м2,центральное,под самоотделку (псо),магистральный,совмещенный,балкон,бронированная,паркинг,3 м.,видеонаблюдение,договор долевого участия,есть,,,нет,,кухня-студия,,нет,,,,,57500
"2-комн. кв., 44 м2","Бишкек, VEFA",Добавлено 2 месяца назад,Поднято 11 часов назад,532,1.0,42.8575,74.6127,от агента,индивид. планировка,кирпичный,4 этаж из 5,44 м2,центральное,хорошее,магистральный,раздельный,балкон,,,2.8 м.,,"договор купли-продажи,                                             технический паспорт",,проводной,,,,,,есть,,,,,71500
"1-комн. кв., 62 м2","Бишкек, Московская - Белинка, Турусбекова/Боконбаева",Добавлено 6 дней назад,Поднято 13 часов назад,115,1.0,42.8682,74.5845,от агента,элитка,"монолитный, 2019 г.",14 этаж из 15,62 м2,центральное,евроремонт,,,,,,3.2 м.,"охрана,                                             видеонаблюдение",технический паспорт,,,частично меблирована,,,,,,,,,,110000
"3-комн. кв., 100 м2","Бишкек, Дворец спорта, Рыскулова/Коенкозова",Добавлено 8 месяцев назад,Поднято 9 часов назад,1533,4.0,42.8791,74.5937,от агента,элитка,"монолитный, 2019 г.",9 этаж из 12,100 м2,,евроремонт,,,,,,3 м.,,"красная книга,                                             договор купли-продажи,                                             технический паспорт",,,,,,,,,,,,,180000
"2-комн. кв., 48 м2","Бишкек, Дворец спорта, Жибек Жолу 372",Добавлено 5 месяцев назад,Поднято 5 часов назад,2157,12.0,42.8835,74.5935,от агента,элитка,"монолитный, 2019 г.",5 этаж из 12,48 м2,центральное,хорошее,магистральный,совмещенный,балкон,бронированная,паркинг,3.3 м.,видеонаблюдение,"договор купли-продажи,                                             технический паспорт",возможно подключение,,частично меблирована,,,тихий двор,,,,,,,73000
"2-комн. кв., 85 м2","Бишкек, Магистраль",Добавлено 5 месяцев назад,Поднято 9 часов назад,1073,4.0,42.8172,74.6049,от агента,элитка,кирпичный,12 этаж из 13,85 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,95000
"3-комн. кв., 80 м2","Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Добавлено 2 месяца назад,Поднято 1 месяц назад,2480,9.0,42.8171,74.6059,от собственника,элитка,"монолитный, 2022 г.",9 этаж из 14,"80 м2, жилая: 80 м2, кухня: 20 м2",на газе,евроремонт,магистральный,2 с/у и более,балкон,бронированная,паркинг,3 м.,"видеонаблюдение,                                             консьерж,                                             кодовый замок,                                             видеодомофон,                                             охрана,                                             сигнализация,                                             домофон","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",,оптика,полностью меблирована,,рассмотрю варианты,,ламинат,есть,,,,,169000
"4-комн. кв., 130 м2","Бишкек, VEFA, Жукеева-Пудовкина/Горького",Добавлено 20 дней назад,Поднято 4 часа назад,175,,42.8548,74.6162,от агента,элитка,"кирпичный, 2020 г.",3 этаж из 4,130 м2,центральное,евроремонт,,,,,,,,"договор купли-продажи,                                             технический паспорт",,,,,,"пластиковые окна,                                             тихий двор",,,,,,,225000
"3-комн. кв., 124 м2","Бишкек, Магистраль, Токомбаева-Сухэ-батора",Добавлено 4 месяца назад,Поднято 15 часов назад,562,,42.8191,74.6129,от агента,элитка,"монолитный, 2024 г.",4 этаж из 18,124 м2,на газе,под самоотделку (псо),,,,,,,,"договор долевого участия,                                             зеленая книга",,,,,,,,,,,,,184760
"2-комн. кв., 78 м2","Бишкек, Магистраль, Сухэ Батора",Добавлено 1 месяц назад,Поднято 8 часов назад,329,,42.8219,74.6172,от агента,элитка,"монолитный, 2022 г.",11 этаж из 14,78 м2,автономное,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,91500
"2-комн. кв., 80 м2","Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",Добавлено 9 дней назад,Поднято 16 часов назад,110,,42.8224,74.611,от агента,элитка,"монолитный, 2022 г.",10 этаж из 14,80 м2,на газе,под самоотделку (псо),,,,,,3.3 м.,,,,,,,,,,,,,,,143000
"2-комн. кв., 49 м2","Бишкек, Магистраль, Куттубаева/Южн. Магистраль",Добавлено 25 дней назад,,297,3.0,42.8113,74.6221,от собственника,элитка,"монолитный, 2023 г.",4 этаж из 10,49 м2,на газе,евроремонт,магистральный,совмещенный,балкон,бронированная,паркинг,3 м.,"видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,,проводной,частично меблирована,,,,,,,,,,87000
"3-комн. кв., 102.17 м2","Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",Добавлено 4 дня назад,Поднято 7 часов назад,69,1.0,42.8171,74.617,от агента,элитка,"монолитный, 2022 г.",12 этаж из 14,102.17 м2,на газе,под самоотделку (псо),,,,,,3 м.,,договор долевого участия,,,,,,,,,,,,,76000
"2-комн. кв., 44 м2","Бишкек, 9 м-н",Добавлено 5 месяцев назад,Поднято 20 дней назад,733,,42.8379,74.6015,от агента,104 серия,кирпичный,3 этаж из 4,44 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,77500
"1-комн. кв., 48 м2","Бишкек, с. Кок-Джар",Добавлено 5 месяцев назад,Поднято 20 дней назад,887,8.0,42.8143,74.6466,от агента,элитка,"кирпичный, 2025 г.",8 этаж из 9,48 м2,на газе,евроремонт,,,,,,,видеонаблюдение,"договор долевого участия,                                             красная книга",,,,,,пластиковые окна,,,,,,,61500
"1-комн. кв., 45 м2","Бишкек, Магистраль, Байтик Баатыра/Токомбаева",Добавлено 5 месяцев назад,Поднято 5 часов назад,1077,7.0,42.818,74.6088,от агента,элитка,"монолитный, 2024 г.",8 этаж из 16,45 м2,на газе,под самоотделку (псо),магистральный,раздельный,застекленный балкон,бронированная,паркинг,3 м.,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","договор долевого участия,                                             красная книга",возможно подключение,проводной,пустая,нет,рассмотрю варианты,"улучшенная,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",,нет,,,,,60500
"3-комн. кв., 105 м2","Бишкек, ЦУМ",Добавлено 8 месяцев назад,Поднято 9 часов назад,1550,3.0,42.8744,74.6097,от агента,элитка,кирпичный,8 этаж из 19,105 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,275000
"3-комн. кв., 61 м2","Бишкек, Карпинка, Ахматбека Суюмбаева, 16",Добавлено 2 месяца назад,Поднято 10 часов назад,387,2.0,42.8721,74.6234,от агента,106 серия,"панельный, 1983 г.",4 этаж из 9,"61 м2, жилая: 39.5 м2",,,,,,,,2.8 м.,,,,,,,,,,есть,,,,,116500
"2-комн. кв., 67 м2","Бишкек, Кулатова- Матросова, Матросова, 1а ст2/Льва Толстого",Добавлено 16 часов назад,,46,,42.8628,74.6199,от собственника,элитка,"монолитный, 2021 г.",9 этаж из 14,"67 м2, жилая: 58 м2, кухня: 20 м2",центральное,евроремонт,магистральный,совмещенный,застекленный балкон,бронированная,,3 м.,"решетки на окнах,                                             кодовый замок,                                             видеонаблюдение",технический паспорт,возможно подключение,оптика,полностью меблирована,,рассмотрю варианты,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             встроенная кухня,                                             кладовка",ламинат,,,,,,100000
